R1117TS227_5.pdb;-19297.505854
R1117TS229_1.pdb;-21171.078987
R1117TS229_2.pdb;-20462.829114
R1117TS229_3.pdb;-20089.188996
R1117TS229_4.pdb;-19362.032115
R1117TS229_5.pdb;-20281.916606
R1117TS232_1.pdb;-23022.239570
R1117TS232_2.pdb;-22244.832314
R1117TS232_3.pdb;-22487.957066
R1117TS232_4.pdb;-22668.625833
R1117TS232_5.pdb;-22718.285564
R1117TS235_1.pdb;-22057.472528
R1117TS235_2.pdb;-19566.699336
R1117TS235_3.pdb;-19587.912971
R1117TS235_4.pdb;-19432.116476
R1117TS235_5.pdb;-21973.313389
R1117TS238_1.pdb;-20407.216010
R1117TS238_2.pdb;-13305.384110
R1117TS239_1.pdb;-19931.043995
R1117TS239_2.pdb;-20089.188996
R1117TS239_3.pdb;-19778.365331
R1117TS239_4.pdb;-14261.592075
R1117TS245_1.pdb;-16544.184700
R1117TS245_2.pdb;-16985.815076
R1117TS245_3.pdb;-17304.640379
R1117TS245_4.pdb;-17859.461620
R1117TS245_5.pdb;-18146.817470
R1117TS248_1.pdb;-17076.443978
R1117TS248_2.pdb;-17441.883821
R1117TS248_3.pdb;-17866.894257
R1117TS248_4.pdb;-17165.745224
R1117TS248_5.pdb;-17363.817551
R1117TS287_1.pdb;-20813.713174
R1117TS287_2.pdb;-21130.108676
R1117TS287_3.pdb;-20317.877965
R1117TS287_4.pdb;-20697.658231
R1117TS287_5.pdb;-20130.482384
R1117TS385_1.pdb;-16544.184700
R1117TS385_2.pdb;-16985.815076
R1117TS385_3.pdb;-17304.640379
R1117TS385_4.pdb;-17859.461620
R1117TS385_5.pdb;-18146.817470
R1117TS392_1.pdb;-16901.942768
R1117TS392_2.pdb;-17827.938798
R1117TS392_3.pdb;-18286.878729
R1117TS392_4.pdb;-20524.644100
R1117TS392_5.pdb;-20499.261663
R1117TS416_1.pdb;-22296.051206
R1117TS416_2.pdb;-19800.965125
R1117TS416_3.pdb;-21322.570372
R1117TS416_4.pdb;-21693.297498
R1117TS416_5.pdb;-21325.015247
R1117TS434_1.pdb;-17536.787321
R1117TS434_2.pdb;-18620.337575
R1117TS434_3.pdb;-19771.000639
R1117TS434_4.pdb;-18087.070439
R1117TS439_1.pdb;-19733.619966
R1117TS439_2.pdb;-20588.240418
R1117TS439_3.pdb;-20410.544606
R1117TS439_4.pdb;-13841.091997
R1117TS439_5.pdb;-19931.043995
R1117TS444_1.pdb;-19931.043995
R1117TS444_2.pdb;-20462.829114
R1117TS444_3.pdb;-18882.083446
R1117TS444_4.pdb;-18561.320620
R1117TS444_5.pdb;-19778.365331
R1117TS470_1.pdb;-18010.808445
R1117TS470_2.pdb;-17591.196585
R1117TS470_3.pdb;-18561.320620
R1117TS470_4.pdb;-18561.320620
R1117TS470_5.pdb;-18113.150454
R1117TS489_1.pdb;-18010.808445
R1117TS489_2.pdb;-17591.196585
R1117TS489_3.pdb;-18561.320620
R1117TS489_4.pdb;-18561.320620
R1117TS489_5.pdb;-18113.150454
