1q96C_M473.pdb     -91.279611 kBT
1q96C_M110.pdb     -113.772031 kBT
1q96C_M450.pdb     -89.190009 kBT
1q96C_M50.pdb     -128.440020 kBT
1q96C_M384.pdb     -96.337771 kBT
1q96C_M489.pdb     -114.507502 kBT
1q96C_M347.pdb     -111.511695 kBT
1q96C_M17.pdb     -123.279141 kBT
1q96C_M259.pdb     -97.770568 kBT
1q96C_M72.pdb     -103.652737 kBT
1q96C_M362.pdb     -102.878982 kBT
1q96C_M80.pdb     -109.474494 kBT
1q96C_M173.pdb     -127.039210 kBT
1q96C_M378.pdb     -82.177925 kBT
1q96C_M237.pdb     -95.039702 kBT
1q96C_M306.pdb     -82.850930 kBT
1q96C_M437.pdb     -105.047496 kBT
1q96C_M103.pdb     -110.797403 kBT
1q96C_M499.pdb     -94.836802 kBT
1q96C_M261.pdb     -77.182335 kBT
1q96C_M295.pdb     -125.106041 kBT
1q96C_M26.pdb     -130.676699 kBT
1q96C_M316.pdb     -102.866116 kBT
1q96C_M418.pdb     -113.034883 kBT
1q96C_M454.pdb     -109.348588 kBT
1q96C_M485.pdb     -106.877365 kBT
1q96C_M436.pdb     -103.189577 kBT
1q96C_M114.pdb     -123.415073 kBT
1q96C_M495.pdb     -121.627981 kBT
1q96C_M201.pdb     -105.037585 kBT
1q96C_M16.pdb     -152.455099 kBT
1q96C_M412.pdb     -83.605063 kBT
1q96C_M117.pdb     -114.102099 kBT
1q96C_M498.pdb     -106.709047 kBT
1q96C_M36.pdb     -120.081950 kBT
1q96C_M39.pdb     -129.885011 kBT
1q96C_M371.pdb     -119.983580 kBT
1q96C_M100.pdb     -108.811165 kBT
1q96C_M276.pdb     -109.632308 kBT
1q96C_M70.pdb     -125.246840 kBT
1q96C_M394.pdb     -104.564794 kBT
1q96C_M183.pdb     -96.668942 kBT
1q96C_M440.pdb     -100.107174 kBT
1q96C_M47.pdb     -139.473912 kBT
1q96C_M383.pdb     -111.149425 kBT
1q96C_M420.pdb     -126.102689 kBT
1q96C_M376.pdb     -116.224042 kBT
1q96C_M241.pdb     -121.046711 kBT
1q96C_M381.pdb     -94.916796 kBT
1q96C_M161.pdb     -114.053642 kBT
1q96C_M37.pdb     -155.338803 kBT
1q96C_M193.pdb     -120.543130 kBT
1q96C_M252.pdb     -79.830100 kBT
1q96C_M309.pdb     -127.881840 kBT
1q96C_M435.pdb     -112.154944 kBT
1q96C_M417.pdb     -112.379095 kBT
1q96C_M53.pdb     -117.608179 kBT
1q96C_M478.pdb     -90.474636 kBT
1q96C_M123.pdb     -117.253023 kBT
1q96C_M423.pdb     -109.910769 kBT
1q96C_M136.pdb     -93.882668 kBT
1q96C_M425.pdb     -97.327146 kBT
1q96C_M15.pdb     -134.528493 kBT
1q96C_M158.pdb     -126.599806 kBT
1q96C_M124.pdb     -108.486801 kBT
1q96C_M281.pdb     -89.520653 kBT
1q96C_M361.pdb     -110.047983 kBT
1q96C_M40.pdb     -137.351499 kBT
1q96C_M115.pdb     -101.228030 kBT
1q96C_M414.pdb     -77.618497 kBT
1q96C_M461.pdb     -76.478807 kBT
1q96C_M58.pdb     -120.956081 kBT
1q96C_M163.pdb     -99.684450 kBT
1q96C_M447.pdb     -114.143958 kBT
1q96C_M391.pdb     -107.629461 kBT
1q96C_M218.pdb     -109.264997 kBT
1q96C_M297.pdb     -119.030892 kBT
1q96C_M121.pdb     -118.038814 kBT
1q96C_M195.pdb     -117.104992 kBT
1q96C_M416.pdb     -92.757812 kBT
1q96C_M74.pdb     -108.218641 kBT
1q96C_M350.pdb     -83.225417 kBT
1q96C_M287.pdb     -107.865472 kBT
1q96C_M59.pdb     -129.044877 kBT
1q96C_M75.pdb     -125.098239 kBT
1q96C_M236.pdb     -109.111671 kBT
1q96C_M83.pdb     -135.209348 kBT
1q96C_M6.pdb     -151.408562 kBT
1q96C_M497.pdb     -72.745119 kBT
1q96C_M179.pdb     -110.828511 kBT
1q96C_M360.pdb     -92.037604 kBT
1q96C_M387.pdb     -111.810779 kBT
1q96C_M270.pdb     -106.313900 kBT
1q96C_M99.pdb     -123.673011 kBT
1q96C_M86.pdb     -121.464261 kBT
1q96C_M178.pdb     -99.170914 kBT
1q96C_M238.pdb     -117.780764 kBT
1q96C_M116.pdb     -112.012996 kBT
1q96C_M34.pdb     -133.822304 kBT
1q96C_M284.pdb     -102.364097 kBT
1q96C_M486.pdb     -84.786345 kBT
1q96C_M248.pdb     -103.886920 kBT
1q96C_M249.pdb     -97.365044 kBT
1q96C_M14.pdb     -136.641226 kBT
1q96C_M405.pdb     -72.707316 kBT
1q96C_M67.pdb     -126.085812 kBT
1q96C_M184.pdb     -126.836484 kBT
1q96C_M182.pdb     -145.380872 kBT
1q96C_M41.pdb     -127.182893 kBT
1q96C_M31.pdb     -127.470111 kBT
1q96C_M84.pdb     -137.695658 kBT
1q96C_M105.pdb     -134.348641 kBT
1q96C_M445.pdb     -76.587143 kBT
1q96C_M333.pdb     -99.848172 kBT
1q96C_M181.pdb     -97.580251 kBT
1q96C_M349.pdb     -100.596159 kBT
1q96C_M369.pdb     -113.960996 kBT
1q96C_M403.pdb     -79.707583 kBT
1q96C_M451.pdb     -133.377070 kBT
1q96C_M334.pdb     -104.334107 kBT
1q96C_M2.pdb     -154.317205 kBT
1q96C_M108.pdb     -97.916060 kBT
1q96C_M118.pdb     -115.384263 kBT
1q96C_M477.pdb     -99.247319 kBT
1q96C_M227.pdb     -110.880896 kBT
1q96C_M199.pdb     -107.867305 kBT
1q96C_M9.pdb     -158.071360 kBT
1q96C_M154.pdb     -99.451694 kBT
1q96C_M318.pdb     -72.309082 kBT
1q96C_M112.pdb     -93.000203 kBT
1q96C_M322.pdb     -101.988143 kBT
1q96C_M216.pdb     -113.228459 kBT
1q96C_M388.pdb     -113.512284 kBT
1q96C_M229.pdb     -124.115099 kBT
1q96C_M304.pdb     -106.302636 kBT
1q96C_M375.pdb     -119.538711 kBT
1q96C_M3.pdb     -149.160795 kBT
1q96C_M169.pdb     -113.112534 kBT
1q96C_M373.pdb     -111.544105 kBT
1q96C_M493.pdb     -96.581924 kBT
1q96C_M23.pdb     -127.133168 kBT
